t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260420T205335Z,262.5,250,253.8939,262.5,255,207.5,212.5,165
20260420T210603Z,262.5,250,251.0525,262.5,255,207.5,212.5,165
20260420T230535Z,262.5,250,253.8423,262.5,250,207.5,212.5,165
20260421T011514Z,,,,,,252.5,250,251.0683,207.5,255,262.5,
20260421T020301Z,,,,,,,,,,,252.5,250,251.0683,207.5,255,262.5,
20260421T022041Z,252.5,250,706,C,255,1103,C,245,770,C,252.5,250,251.0683,207.5,255,262.5,251.285
20260429T163004Z,262.5,262.5,1240,C,265,4493,C,260,43004,C,265,250,252.8647,290,260,250,263.33
20260429T195500Z,262.5,262.5,1240,C,265,4493,C,260,43004,C,265,250,252.8748,290,260,250,262.605
20260430T120000Z,270,285,856,C,290,932,C,230,2004,P,272.5,250,274.8779,185,265,265,270.615
20260430T133500Z,270,285,856,C,290,932,C,230,2004,P,272.5,250,274.8796,185,265,265,270.445
20260430T163000Z,257.5,285,856,C,230,2004,P,290,932,C,265,245,274.9243,185,255,265,258.67
20260430T195500Z,265,285,856,C,290,932,C,230,2004,P,270,250,274.903,185,260,255,265.045
20260501T120000Z,262.5,260,579,P,285,875,C,290,965,C,270,260,262.1308,185,260,270,262.7
20260501T133500Z,262.5,260,579,P,285,875,C,290,965,C,270,260,262.1232,185,260,270,263.125
20260501T163000Z,270,260,579,P,285,875,C,290,965,C,270,260,262.006,185,265,280,269.39
20260501T195500Z,267.5,260,579,P,285,875,C,290,965,C,270,260,262.0163,185,260,260,268.66
20260504T120000Z,267.5,290,1184,C,292.5,752,C,220,2299,P,275,262.5,268.6573,185,260,290,267.635
20260504T133500Z,270,290,1184,C,292.5,752,C,220,2299,P,290,270,271.5448,185,275,290,270.485
20260504T163000Z,270,290,1184,C,292.5,752,C,220,2299,P,290,270,271.5302,185,290,290,270.845
20260504T195500Z,272.5,290,1184,C,292.5,752,C,220,2299,P,290,270,271.5148,185,290,290,271.765
20260505T120000Z,272.5,290,1192,C,292.5,757,C,220,2283,P,277.5,267.5,268.0387,185,270,287.5,273.675
20260505T133500Z,275,290,1192,C,292.5,757,C,220,2283,P,277.5,267.5,268.0359,185,270,287.5,273.775
20260505T163000Z,275,290,1192,C,292.5,757,C,220,2283,P,277.5,267.5,268.0069,185,270,287.5,275.695
20260505T195500Z,275,290,1192,C,292.5,757,C,220,2283,P,277.5,267.5,268.032,185,270,287.5,273.915
20260506T120000Z,277.5,277.5,2361,C,275,26272,C,280,36037,C,280,272.5,277.448,260,280,272.5,276.525
20260506T133500Z,272.5,272.5,6859,P,275,26272,C,270,25195,C,280,272.5,277.455,260,280,275,273.035
20260506T163000Z,275,275,26272,C,272.5,6859,P,277.5,2361,C,280,272.5,277.4669,260,270,300,274.93
20260506T195500Z,277.5,277.5,2361,C,275,26272,C,280,36037,C,280,272.5,277.4655,260,270,272.5,277.49
20260507T120000Z,275,280,741,C,232.5,816,P,350,7127,C,280,270,272.4033,165,280,280,275.5
20260507T133500Z,275,280,651,C,232.5,831,P,350,7127,C,277.5,272.5,273.5822,165,280,282.5,275.62
20260507T163000Z,272.5,280,651,C,232.5,831,P,350,7127,C,350,195,273.6244,165,280,195,273.185
20260507T195500Z,272.5,280,651,C,232.5,831,P,195,17391,P,275,270,273.6782,165,280,280,271.805
20260508T120000Z,272.5,280,651,C,232.5,831,P,195,17391,P,280,270,273.3359,165,280,280,271.855
20260508T133500Z,272.5,270,560,P,275,574,C,280,1007,C,275,262.5,272.1472,170,280,280,272.355
20260508T163000Z,272.5,275,574,C,270,560,P,280,1007,C,280,262.5,272.6869,170,280,165,272.575
20260508T195500Z,272.5,275,574,C,270,560,P,280,1007,C,280,262.5,272.6465,170,280,175,272.87
20260511T120000Z,270,265,799,P,260,1206,P,282.5,695,C,287.5,262.5,270.1459,170,265,287.5,270.975
20260511T133500Z,270,265,799,P,260,1206,P,282.5,695,C,287.5,262.5,270.1473,170,260,287.5,270.7
20260511T163000Z,272.5,265,799,P,282.5,695,C,260,1206,P,287.5,262.5,270.1406,170,265,287.5,272
20260511T195500Z,270,265,799,P,260,1206,P,282.5,695,C,287.5,262.5,270.1516,170,260,287.5,269.71
20260512T120000Z,267.5,265,821,P,260,1238,P,282.5,725,C,310,262.5,265.0315,170,260,195,266.595
20260512T133500Z,267.5,265,821,P,260,1238,P,282.5,725,C,280,262.5,265.1959,170,260,252.5,267.415
20260512T163000Z,265,265,821,P,260,1238,P,282.5,725,C,280,262.5,264.7526,170,260,252.5,264.68
20260512T195500Z,265,265,821,P,260,1238,P,282.5,725,C,310,150,264.743,170,260,150,264.75
20260513T120000Z,265,265,2434,C,262.5,548,P,270,2975,C,280,262.5,263.6505,277.5,270,280,266.16
