t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260420T205335Z,680,665,671.6899,655,660,587.5,800,475
20260420T210603Z,680,665,671.6899,655,660,587.5,800,475
20260420T230535Z,680,665,673.9689,655,660,587.5,800,475
20260421T011514Z,,,,,,680,665,671.6849,587.5,660,655,
20260421T020301Z,,,,,,,,,,,680,665,671.6849,587.5,660,655,
20260421T022041Z,672.5,660,683,C,700,582,C,800,967,C,680,665,671.6849,587.5,660,655,672.37
20260429T163004Z,670,670,934,C,665,545,C,675,937,C,710,665,669.5795,682.5,680,710,669.31
20260429T195500Z,672.5,675,937,C,670,934,C,680,1231,C,710,665,670.0878,682.5,690,710,673.095
20260430T120000Z,605,575,908,P,460,1237,P,450,586,P,625,575,626.741,290,575,575,606.245
20260430T133500Z,615,575,908,P,460,1237,P,450,586,P,625,610,626.7064,290,575,600,615.245
20260430T163000Z,610,575,908,P,460,1237,P,450,586,P,625,575,626.7336,290,575,600,608.82
20260430T195500Z,615,575,908,P,460,1237,P,450,586,P,625,610,626.7053,290,575,600,615.75
20260501T120000Z,612.5,575,914,P,460,1235,P,450,637,P,620,595,596.5973,330,620,620,612.935
20260501T133500Z,615,575,914,P,460,1235,P,450,637,P,620,595,596.5898,330,620,635,614
20260501T163000Z,610,575,914,P,460,1235,P,450,637,P,620,595,596.6099,330,600,620,610.775
20260501T195500Z,610,575,914,P,460,1235,P,450,637,P,620,595,596.6053,330,600,620,611.195
20260504T120000Z,607.5,575,2075,P,720,543,C,470,576,P,630,600,607.9461,350,575,630,607.73
20260504T133500Z,607.5,575,2075,P,720,543,C,470,576,P,630,600,607.9451,350,600,630,608.105
20260504T163000Z,612.5,575,2075,P,720,543,C,470,576,P,630,600,607.9366,350,575,630,611.525
20260504T195500Z,612.5,575,2075,P,720,543,C,470,576,P,630,600,607.9364,350,625,630,611.44
20260505T120000Z,612.5,575,2085,P,720,554,C,470,698,P,620,597.5,609.6309,400,600,635,612.065
20260505T133500Z,612.5,575,2085,P,720,554,C,470,698,P,620,597.5,614.6654,400,600,635,613.25
