t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260518T133500Z,417.5,435,1074,P,440,1194,P,445,937,C,430,410,419.582,110,435,430,418.31
20260518T163000Z,417.5,435,1074,P,440,1194,P,445,937,C,430,250,414.9085,110,450,250,416.4
20260518T195500Z,407.5,435,1074,P,440,1194,P,445,937,C,430,407.5,414.9153,110,425,430,408.625
20260519T120000Z,410,410,2622,C,415,2943,C,405,2155,C,415,390,411.5684,400,420,440,411
20260519T133500Z,410,410,2622,C,415,2943,C,405,2155,C,415,390,411.5684,400,420,440,411
20260519T163000Z,410,410,2622,C,415,2943,C,405,2155,C,415,390,411.5684,400,420,440,411
20260519T195500Z,405,405,2323,C,400,5874,C,410,3226,C,410,400,403.5261,415,400,435,404.835
20260521T120000Z,422.5,422.5,2419,P,420,879,P,425,640,P,447.5,420,422.2437,320,412.5,447.5,421.68
20260521T133500Z,422.5,422.5,2419,P,425,640,P,420,879,P,447.5,420,422.6976,320,412.5,447.5,422.545
20260521T163000Z,422.5,422.5,2419,P,425,640,P,420,879,P,447.5,420,422.6976,320,412.5,447.5,422.545
20260522T120000Z,420,420,15428,C,422.5,3811,C,417.5,5665,C,422.5,410,410.3007,430,430,420,420.675
20260522T133500Z,420,420,15428,C,422.5,3811,C,417.5,5665,C,422.5,410,410.3007,430,430,420,420.675
20260526T120000Z,430,430,682,C,427.5,6414,C,432.5,8341,C,432.5,422.5,424.6933,170,432.5,432.5,429.8
20260526T133500Z,430,430,682,C,427.5,6414,C,432.5,8341,C,432.5,422.5,424.6933,170,432.5,432.5,429.8
20260526T163000Z,430,430,682,C,427.5,6414,C,432.5,8341,C,432.5,422.5,424.6933,170,432.5,432.5,429.8
20260526T195500Z,430,430,682,C,427.5,6414,C,432.5,8341,C,432.5,422.5,424.6933,170,432.5,432.5,429.8
20260527T120000Z,442.5,445,2937,P,440,6828,C,447.5,635,C,450,412.5,444.3718,430,450,450,443.675
20260527T133500Z,442.5,445,2937,P,440,6828,C,447.5,635,C,450,412.5,444.3718,430,450,450,443.675
20260527T163000Z,442.5,445,2937,P,440,6828,C,447.5,635,C,450,412.5,444.3718,430,450,450,443.675
20260527T195500Z,442.5,445,2937,P,440,6828,C,447.5,635,C,450,412.5,444.3718,430,450,450,443.675
20260528T120000Z,435,435,812,P,440,521,P,450,533,C,445,425,,250,440,450,434.25
20260528T133500Z,440,440,521,P,435,812,P,450,533,C,450,435,,250,450,550,437.685
20260528T163000Z,440,440,521,P,435,812,P,450,533,C,450,435,,250,450,550,437.685
20260528T195500Z,440,440,521,P,435,812,P,450,533,C,450,435,,250,450,550,437.685
20260529T120000Z,440,440,1332,P,437.5,715,C,445,596,C,442.5,430,440.5774,250,435,435,440.26
20260529T133500Z,440,440,1332,P,437.5,715,C,445,596,C,442.5,430,440.5748,250,435,435,440.655
20260529T163000Z,440,440,1332,P,437.5,715,C,445,596,C,442.5,430,440.5748,250,435,435,440.655
20260529T195500Z,440,440,1332,P,437.5,715,C,445,596,C,442.5,430,440.5748,250,435,435,440.655
20260601T120000Z,430,420,742,P,440,940,P,445,1341,C,445,420,428.7079,230,440,420,429.225
20260601T133500Z,430,420,742,P,440,940,P,445,1341,C,445,420,428.7079,230,440,420,429.225
20260601T163000Z,430,420,742,P,440,940,P,445,1341,C,445,420,428.7079,230,440,420,429.225
20260601T195500Z,430,420,742,P,440,940,P,445,1341,C,445,420,428.7079,230,440,420,429.225
20260608T120000Z,392.5,420,582,C,440,702,P,340,769,P,420,300,387.9629,265,420,250,391.34
20260608T133500Z,392.5,420,582,C,440,702,P,340,769,P,420,300,387.9629,265,420,250,391.34
20260608T163000Z,392.5,420,582,C,440,702,P,340,769,P,420,300,387.9629,265,420,250,391.34
20260608T195500Z,407.5,420,582,C,440,702,P,445,634,P,420,250,417.1978,265,420,250,407.195
20260609T120000Z,410,410,10132,P,412.5,1083,C,407.5,657,P,450,395,412.4904,450,420,450,411.15
20260609T133500Z,410,410,10132,P,412.5,1083,C,407.5,657,P,450,395,412.4904,450,420,450,411.15
20260609T163000Z,415,415,9945,C,412.5,1083,C,417.5,1371,C,450,395,412.4904,450,400,450,414.06
20260609T195500Z,390,390,14820,P,395,10759,P,385,8629,P,450,390,399.954,450,450,450,390.05
20260610T120000Z,392.5,397.5,604,P,402.5,754,P,407.5,657,P,450,377.5,422.4955,600,450,450,391.29
20260610T133500Z,392.5,397.5,604,P,402.5,754,P,407.5,657,P,450,377.5,422.4955,600,450,450,391.64
20260610T163000Z,387.5,397.5,604,P,402.5,754,P,407.5,657,P,450,377.5,422.4955,600,450,450,385.09
20260616T195500Z,405,405,3170,P,407.5,2726,P,402.5,1143,C,415,405,402.5348,410,420,420,405.73
20260617T120000Z,402.5,402.5,5308,P,405,6518,P,400,7423,P,415,400,406.4165,410,415,415,402.94
