t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260420T205335Z,717,706,705.6807,694,697.5,485,705,455
20260420T210603Z,717,706,705.681,694,697.5,485,705,455
20260420T230535Z,717,706,705.6808,694,697.5,485,705,455
20260421T011514Z,,,,,,717,706,713.9137,485,697.5,694,
20260421T020301Z,,,,,,,,,,,717,706,713.9137,485,697.5,694,
20260421T022041Z,710,677.5,2158,C,636,6388,P,626,2747,P,717,706,713.9137,485,697.5,694,709.855
20260429T163004Z,710,710,12517,C,711,6014,C,709,2129,P,715,683,709.0632,665,700,683,710.195
20260429T195500Z,710,710,12517,C,711,6014,C,709,2129,P,715,683,709.0632,665,700,683,710.195
20260430T120000Z,714,710,2211,P,695,2419,P,690,2117,P,725,714,714.3673,616,725,725,714.33
20260430T133500Z,714,710,2211,P,695,2419,P,690,2117,P,725,714,714.3674,616,725,725,714.2
20260430T163000Z,715,710,2211,P,695,2419,P,690,2117,P,725,714,714.3669,616,725,725,714.965
20260430T195500Z,719,710,2211,P,695,2419,P,690,2117,P,725,714,714.3645,616,710,725,719.235
20260501T120000Z,720,668,4625,P,666,4431,P,659,2244,P,721,710,715.5118,606,710,710,720.37
20260501T133500Z,721,668,4625,P,666,4431,P,659,2244,P,724,710,715.5113,606,710,710,721.09
20260501T163000Z,722,668,4625,P,666,4431,P,659,2244,P,731,710,715.5101,606,710,717,722.495
20260501T195500Z,722,668,4625,P,666,4431,P,659,2244,P,724,710,715.5105,606,710,710,722.205
20260504T120000Z,720,708,5076,P,668,4936,P,666,4666,P,725,708,718.1106,606,708,708,719.515
20260504T133500Z,720,708,5076,P,668,4936,P,666,4666,P,725,708,721.3296,606,708,708,720.095
20260504T163000Z,717,708,5076,P,668,4936,P,666,4666,P,725,708,717.833,606,708,708,717.24
20260504T195500Z,718,708,5076,P,668,4936,P,666,4666,P,725,708,717.8329,606,708,708,717.96
20260505T120000Z,721,690,2323,P,685,2132,P,668,4742,P,738,693,721.8398,606,715,738,720.83
20260505T133500Z,721,690,2323,P,685,2132,P,668,4742,P,738,693,721.8397,606,715,738,721.335
20260505T163000Z,723,690,2323,P,685,2132,P,668,4742,P,738,693,722.8885,606,715,738,723.09
20260505T195500Z,725,690,2323,P,685,2132,P,668,4742,P,738,693,722.888,606,715,738,724.955
20260506T120000Z,731,731,8976,C,730,26048,C,733,2704,C,740,725,729.7693,530,710,690,731.43
20260506T133500Z,728,728,3932,C,727,3356,C,730,26048,C,731,725,729.7707,530,710,690,728.37
20260506T163000Z,732,731,8976,C,733,2704,C,730,26048,C,740,725,729.8059,530,710,690,731.775
20260506T195500Z,732,733,2704,C,731,8976,C,734,3835,C,740,725,729.8052,530,720,690,732.39
