t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260429T163004Z,710,710,12517,C,711,6014,C,709,2129,P,715,683,709.0632,665,700,683,710.195
20260429T195500Z,710,710,12517,C,711,6014,C,709,2129,P,715,683,709.0632,665,700,683,710.195
20260430T120000Z,714,710,2211,P,695,2419,P,690,2117,P,725,714,714.3673,616,725,725,714.33
20260430T133500Z,714,710,2211,P,695,2419,P,690,2117,P,725,714,714.3674,616,725,725,714.2
20260430T163000Z,715,710,2211,P,695,2419,P,690,2117,P,725,714,714.3669,616,725,725,714.965
20260430T195500Z,719,710,2211,P,695,2419,P,690,2117,P,725,714,714.3645,616,710,725,719.235
20260501T120000Z,720,668,4625,P,666,4431,P,659,2244,P,721,710,715.5118,606,710,710,720.37
20260501T133500Z,721,668,4625,P,666,4431,P,659,2244,P,724,710,715.5113,606,710,710,721.09
20260501T163000Z,722,668,4625,P,666,4431,P,659,2244,P,731,710,715.5101,606,710,717,722.495
20260501T195500Z,722,668,4625,P,666,4431,P,659,2244,P,724,710,715.5105,606,710,710,722.205
20260504T120000Z,720,708,5076,P,668,4936,P,666,4666,P,725,708,718.1106,606,708,708,719.515
20260504T133500Z,720,708,5076,P,668,4936,P,666,4666,P,725,708,721.3296,606,708,708,720.095
20260504T163000Z,717,708,5076,P,668,4936,P,666,4666,P,725,708,717.833,606,708,708,717.24
20260504T195500Z,718,708,5076,P,668,4936,P,666,4666,P,725,708,717.8329,606,708,708,717.96
20260505T120000Z,721,690,2323,P,685,2132,P,668,4742,P,738,693,721.8398,606,715,738,720.83
20260505T133500Z,721,690,2323,P,685,2132,P,668,4742,P,738,693,721.8397,606,715,738,721.335
20260505T163000Z,723,690,2323,P,685,2132,P,668,4742,P,738,693,722.8885,606,715,738,723.09
20260505T195500Z,725,690,2323,P,685,2132,P,668,4742,P,738,693,722.888,606,715,738,724.955
20260506T120000Z,731,731,8976,C,730,26048,C,733,2704,C,740,725,729.7693,530,710,690,731.43
20260506T133500Z,728,728,3932,C,727,3356,C,730,26048,C,731,725,729.7707,530,710,690,728.37
20260506T163000Z,732,731,8976,C,733,2704,C,730,26048,C,740,725,729.8059,530,710,690,731.775
20260506T195500Z,732,733,2704,C,731,8976,C,734,3835,C,740,725,729.8052,530,720,690,732.39
20260507T120000Z,735,720,5968,P,684,48400,P,683,9049,P,735,720,677.0882,425,720,684,734.41
20260507T133500Z,735,720,6472,P,684,48316,P,683,9034,P,752,716,732.3994,435,720,752,735.37
20260507T163000Z,735,720,6472,P,684,48316,P,683,9034,P,752,730,732.3916,435,720,668,734.685
20260507T195500Z,731,720,6472,P,684,48316,P,683,9034,P,735,716,732.4143,435,720,668,730.535
20260508T120000Z,735,684,48316,P,683,9034,P,682,5146,P,752,684,734.2261,425,725,684,734.88
20260508T133500Z,735,684,48269,P,683,9040,P,682,5142,P,753,734,734.5198,435,752,753,734.675
20260508T163000Z,736,684,48269,P,683,9040,P,682,5142,P,753,682,734.5135,435,715,753,736.25
20260508T195500Z,737,684,48269,P,683,9040,P,682,5142,P,753,734,734.5109,435,752,753,736.96
20260511T120000Z,737,684,48269,P,683,9040,P,682,5142,P,752,684,734.8314,435,752,684,737.04
20260511T133500Z,737,730,8838,P,752,2500,C,753,2405,C,754,730,734.1047,445,730,730,736.885
20260511T163000Z,739,730,8838,P,752,2500,C,753,2405,C,754,730,739.5766,445,730,730,739.31
20260511T195500Z,739,730,8838,P,752,2500,C,753,2405,C,754,730,739.5829,445,730,730,738.68
20260512T120000Z,737,730,2245,P,752,3211,C,753,2959,C,752,729,738.9253,445,752,663,736.535
20260512T133500Z,736,730,2245,P,752,3211,C,753,2959,C,752,720,738.6308,445,752,754,735.97
20260512T163000Z,733,730,2245,P,684,48240,P,683,8982,P,741,729,730.2427,430,684,666,732.555
20260512T195500Z,736,730,2245,P,684,48240,P,683,8982,P,741,729,738.6365,430,684,666,736.46
20260513T120000Z,740,740,8524,C,739,4585,C,741,2741,C,740,700,740.9798,535,745,700,739.705
20260513T133500Z,739,739,4585,C,738,4328,C,740,8524,C,740,700,733.9719,535,745,700,738.57
20260513T163000Z,741,741,2741,C,740,8524,C,739,4585,C,743,700,743.8125,535,745,700,740.675
20260513T195500Z,742,741,2741,C,740,8524,C,745,35227,C,743,700,743.8118,535,745,700,742.47
20260514T120000Z,745,677,2058,P,644,7486,P,609,2186,P,752,740,743.4271,430,730,725,744.985
20260514T133500Z,744,677,2058,P,644,7486,P,609,2186,P,752,740,743.4275,430,730,725,744.25
20260514T163000Z,749,677,2058,P,644,7486,P,609,2186,P,752,740,743.4892,430,744,644,748.68
20260514T195500Z,749,677,2058,P,644,7486,P,609,2186,P,752,740,743.494,430,744,644,748.555
20260515T120000Z,742,677,2070,P,644,7496,P,609,2203,P,755,738,744.8116,405,730,400,742.315
20260515T133500Z,742,677,2070,P,644,7496,P,609,2203,P,755,738,744.8116,405,730,400,742.315
